,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SalePrice,SqrtLotArea,LogLotArea,SqrtMasVnrArea,LogMasVnrArea,SqrtBsmtFinSF1,LogBsmtFinSF1,SqrtBsmtFinSF2,LogBsmtFinSF2,SqrtBsmtUnfSF,LogBsmtUnfSF,SqrtTotalBsmtSF,LogTotalBsmtSF,Sqrt1stFlrSF,Log1stFlrSF,Sqrt2ndFlrSF,Log2ndFlrSF,SqrtLowQualFinSF,LogLowQualFinSF,SqrtGrLivArea,LogGrLivArea,SqrtGarageArea,LogGarageArea,SqrtWoodDeckSF,LogWoodDeckSF,SqrtOpenPorchSF,LogOpenPorchSF,SqrtPoolArea,LogPoolArea
106,107,30,60.0,10800,4,7,1885,1995,0.0,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1954.0,1,273,0,0,0,0,0,0,8,2007,11.51293546492023,103.92304845413264,9.287394001418473,0.0,0.0,0.0,0.0,0.0,0.0,25.317977802344327,6.464588303689961,25.317977802344327,6.464588303689961,32.357379374726875,6.954638864880987,0.0,0.0,0.0,0.0,32.357379374726875,6.954638864880987,16.522711641858304,5.6131281063880705,0.0,0.0,0.0,0.0,0.0,0.0
556,557,20,69.0,14850,5,5,1957,1957,0.0,895,0,197,1092,1092,0,0,1092,1,0,1,0,2,1,6,1,1957.0,1,299,268,0,0,0,122,0,5,2006,11.856522261533737,121.8605760695394,9.605822482030945,0.0,0.0,29.916550603303182,6.79794041297493,0.0,0.0,14.035668847618199,5.288267030694535,33.04542328371661,6.996681488176539,33.04542328371661,6.996681488176539,0.0,0.0,0.0,0.0,33.04542328371661,6.996681488176539,17.291616465790582,5.703782474656201,16.3707055437449,5.594711379601839,0.0,0.0,0.0,0.0
1416,1417,190,60.0,11340,4,6,1885,1950,0.0,0,0,777,777,1246,1044,0,2290,0,0,2,0,4,2,11,0,1971.0,2,560,0,0,114,0,0,0,4,2010,11.715874472198905,106.4894360957931,9.33617975681533,0.0,0.0,0.0,0.0,0.0,0.0,27.874719729532707,6.656726524178391,27.874719729532707,6.656726524178391,35.298725189445584,7.1284959456800365,32.31098884280702,6.951772164398911,0.0,0.0,47.853944456021594,7.736743682453495,23.664319132398465,6.329720905522696,0.0,0.0,0.0,0.0,0.0,0.0
302,303,20,118.0,13704,7,5,2001,2002,150.0,0,0,1541,1541,1541,0,0,1541,0,0,2,0,3,1,6,1,2001.0,3,843,468,81,0,0,0,0,1,2006,12.230770136157428,117.06408501329517,9.525516008736886,12.24744871391589,5.017279836814924,0.0,0.0,0.0,0.0,39.25557285278104,7.340835554123275,39.25557285278104,7.340835554123275,39.25557285278104,7.340835554123275,0.0,0.0,0.0,0.0,39.25557285278104,7.340835554123275,29.03446228191595,6.738152494595957,21.633307652783937,6.150602768446279,9.0,4.406719247264253,0.0,0.0
628,629,60,70.0,11606,5,5,1969,1969,192.0,650,0,390,1040,1040,1040,0,2080,0,1,1,2,5,1,9,2,1969.0,2,504,335,0,0,0,0,0,9,2007,11.813037464800539,107.73114684249862,9.359363643368622,13.856406460551018,5.262690188904886,25.495097567963924,6.478509642208569,0.0,0.0,19.748417658131498,5.968707559985366,32.2490309931942,6.947937068614969,32.2490309931942,6.947937068614969,32.2490309931942,6.947937068614969,0.0,0.0,45.60701700396552,7.640603826393634,22.44994432064365,6.22455842927536,18.303005217723125,5.817111159963204,0.0,0.0,0.0,0.0
105,106,60,75.0,9375,8,5,2003,2004,768.0,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2003.0,2,648,140,45,0,0,0,0,8,2008,12.429220196836383,96.82458365518542,9.145908511816794,27.712812921102035,6.645090969505644,0.0,0.0,0.0,0.0,32.449961479175904,6.960347729101308,32.449961479175904,6.960347729101308,32.449961479175904,6.960347729101308,30.643106892089126,6.84587987526405,0.0,0.0,44.63182720884279,7.597396320212795,25.45584412271571,6.47543271670409,11.832159566199232,4.948759890378168,6.708203932499369,3.828641396489095,0.0,0.0
288,289,20,0.0,9819,5,5,1967,1967,31.0,450,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,1970.0,1,280,0,0,0,0,0,0,2,2010,11.711784520403112,99.09086738948247,9.192176401348512,5.5677643628300215,3.4657359027997265,21.213203435596427,6.111467339502679,0.0,0.0,20.784609690826528,6.07073772800249,29.698484809834994,6.78332520060396,30.0,6.803505257608338,0.0,0.0,0.0,0.0,30.0,6.803505257608338,16.73320053068151,5.638354669333745,0.0,0.0,0.0,0.0,0.0,0.0
754,755,20,61.0,7930,6,8,1969,2005,0.0,439,472,115,1026,1026,0,0,1026,1,0,1,0,3,1,5,0,1969.0,2,440,171,48,0,0,0,0,7,2009,11.957617696467539,89.05054744357274,8.97853441008332,0.0,0.0,20.952326839756964,6.0867747269123065,21.72556098240043,6.159095388491933,10.723805294763608,4.7535901911063645,32.03123475609393,6.934397209928558,32.03123475609393,6.934397209928558,0.0,0.0,0.0,0.0,32.03123475609393,6.934397209928558,20.97617696340303,6.089044875446846,13.076696830622021,5.147494476813453,6.928203230275509,3.8918202981106265,0.0,0.0
68,69,30,47.0,4608,4,6,1945,1950,0.0,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1945.0,1,220,0,0,0,0,0,0,6,2010,11.289794413577894,67.88225099390856,8.435766192720509,0.0,0.0,0.0,0.0,0.0,0.0,27.331300737432898,6.617402977974478,27.331300737432898,6.617402977974478,27.331300737432898,6.617402977974478,0.0,0.0,0.0,0.0,27.331300737432898,6.617402977974478,14.832396974191326,5.3981627015177525,0.0,0.0,0.0,0.0,0.0,0.0
428,429,20,64.0,6762,7,5,2007,2007,108.0,664,0,544,1208,1208,0,0,1208,1,0,2,0,2,1,6,0,2007.0,2,628,105,54,0,0,0,0,9,2007,12.182809136284991,82.23138087129512,8.81922185757494,10.392304845413264,4.6913478822291435,25.768197453450252,6.499787040655854,0.0,0.0,23.323807579381203,6.300785794663244,34.75629439396553,7.097548850614793,34.75629439396553,7.097548850614793,0.0,0.0,0.0,0.0,34.75629439396553,7.097548850614793,25.059928172283335,6.444131256700441,10.246950765959598,4.663439094112067,7.3484692283495345,4.007333185232471,0.0,0.0
354,355,50,60.0,8400,6,5,1940,2000,0.0,388,0,552,940,1192,403,0,1595,0,0,1,0,2,1,6,2,1940.0,1,240,0,0,108,0,0,0,6,2006,11.849404844423074,91.6515138991168,9.036106025364846,0.0,0.0,19.697715603592208,5.963579343618446,0.0,0.0,23.49468024894146,6.315358001522335,30.659419433511783,6.846943139585379,34.52535300326414,7.084226422097916,20.074859899884732,6.0014148779611505,0.0,0.0,39.93745109543172,7.3752557780097545,15.491933384829668,5.484796933490655,0.0,0.0,0.0,0.0,0.0,0.0
398,399,30,60.0,8967,5,2,1920,1950,0.0,0,0,961,961,1077,0,0,1077,0,0,1,0,2,1,6,0,1920.0,1,338,0,0,0,0,0,0,11,2007,11.112462823634855,94.69424480928078,9.101417964751995,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.8690144506657065,31.0,6.8690144506657065,32.817678162843876,6.982862751468942,0.0,0.0,0.0,0.0,32.817678162843876,6.982862751468942,18.384776310850235,5.82600010738045,0.0,0.0,0.0,0.0,0.0,0.0
641,642,60,0.0,7050,7,5,2001,2001,0.0,738,0,319,1057,1057,872,0,1929,1,0,2,1,3,1,7,1,2001.0,2,650,0,235,0,0,0,0,5,2007,12.328294703023394,83.96427811873333,8.860924729719041,0.0,0.0,27.16615541441225,6.6052979209482015,0.0,0.0,17.86057109949175,5.768320995793772,32.51153641401772,6.964135612418245,32.51153641401772,6.964135612418245,29.5296461204668,6.771935555839602,0.0,0.0,43.9203825119955,7.5652752818989315,25.495097567963924,6.478509642208569,0.0,0.0,15.329709716755891,5.4638318050256105,0.0,0.0
413,414,30,56.0,8960,5,6,1927,1950,0.0,0,0,1008,1008,1028,0,0,1028,0,0,1,0,2,1,5,1,1927.0,2,360,0,0,130,0,0,0,3,2010,11.652696102959753,94.65727652959386,9.10063710688422,0.0,0.0,0.0,0.0,0.0,0.0,31.74901573277509,6.9167150203536085,31.74901573277509,6.9167150203536085,32.0624390837628,6.9363427358340495,0.0,0.0,0.0,0.0,32.0624390837628,6.9363427358340495,18.973665961010276,5.8888779583328805,0.0,0.0,0.0,0.0,0.0,0.0
798,799,60,104.0,13518,9,5,2008,2009,860.0,0,0,1926,1926,1966,1174,0,3140,0,0,3,1,4,1,11,2,2009.0,3,820,144,78,0,0,0,0,7,2009,13.091906231773164,116.26693425045661,9.511851382364405,29.32575659723036,6.7580945044277305,0.0,0.0,0.0,0.0,43.88621651498338,7.563719668414366,43.88621651498338,7.563719668414366,44.339598554790726,7.584264818389059,34.26368339802363,7.069023426578259,0.0,0.0,56.0357029044876,8.052296499538647,28.635642126552707,6.710523109452428,12.0,4.976733742420574,8.831760866327848,4.3694478524670215,0.0,0.0
967,968,20,0.0,7390,5,7,1955,1955,151.0,902,0,196,1098,1098,0,0,1098,1,0,1,0,3,1,6,0,1955.0,1,260,0,0,0,0,0,0,7,2008,11.813037464800539,85.96510920134982,8.908018322784887,12.288205727444508,5.0238805208462765,30.033314835362415,6.805722553416985,0.0,0.0,14.0,5.2832037287379885,33.13608305156178,7.002155954403621,33.13608305156178,7.002155954403621,0.0,0.0,0.0,0.0,33.13608305156178,7.002155954403621,16.1245154965971,5.564520407322694,0.0,0.0,0.0,0.0,0.0,0.0
315,316,60,71.0,7795,7,5,2004,2005,0.0,425,0,291,716,716,716,0,1432,1,0,2,1,3,1,6,1,2004.0,2,432,100,51,0,0,0,0,7,2009,12.146858590895919,88.28929719960398,8.961366060627451,0.0,0.0,20.615528128088304,6.054439346269371,0.0,0.0,17.05872210923198,5.676753802268282,26.758176320519304,6.57507584059962,26.758176320519304,6.57507584059962,26.758176320519304,6.57507584059962,0.0,0.0,37.841775856849004,7.267525427828172,20.784609690826528,6.07073772800249,10.0,4.61512051684126,7.14142842854285,3.9512437185814275,0.0,0.0
371,372,50,80.0,17120,4,4,1959,1959,0.0,0,0,0,0,1120,468,0,1588,0,0,2,0,4,1,7,1,1991.0,2,680,0,59,0,0,0,0,7,2008,11.808821212646512,130.843417870369,9.748061059204817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.46640106136302,7.02197642307216,21.633307652783937,6.150602768446279,0.0,0.0,39.84971769034255,7.370860166536716,26.076809620810597,6.523562306149512,0.0,0.0,7.681145747868608,4.0943445622221,0.0,0.0
870,871,20,60.0,6600,5,5,1962,1962,0.0,0,0,894,894,894,0,0,894,0,0,1,0,2,1,5,0,1962.0,1,308,0,0,0,0,0,0,8,2009,11.603688960617083,81.24038404635961,8.79497643168877,0.0,0.0,0.0,0.0,0.0,0.0,29.899832775452108,6.796823718274855,29.899832775452108,6.796823718274855,29.899832775452108,6.796823718274855,0.0,0.0,0.0,0.0,29.899832775452108,6.796823718274855,17.549928774784245,5.733341276897746,0.0,0.0,0.0,0.0,0.0,0.0
212,213,60,72.0,8640,7,5,2009,2009,0.0,822,0,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2009.0,2,644,168,108,0,0,0,0,7,2009,12.439875187430008,92.951600308978,9.0642735958414,0.0,0.0,28.6705423736629,6.71295620067707,0.0,0.0,8.831760866327848,4.3694478524670215,30.0,6.803505257608338,30.528675044947494,6.838405200847344,30.331501776206203,6.825460036255307,0.0,0.0,43.034869582700026,7.52456122628536,25.37715508089904,6.4692503167957724,12.96148139681572,5.1298987149230735,10.392304845413264,4.6913478822291435,0.0,0.0
1042,1043,120,34.0,5381,6,5,2005,2005,135.0,900,0,406,1306,1306,0,0,1306,1,0,2,0,1,1,5,1,2005.0,2,624,170,63,0,0,0,0,8,2009,12.185875040240456,73.35529974037323,8.590815331286851,11.61895003862225,4.912654885736052,30.0,6.803505257608338,0.0,0.0,20.149441679609886,6.008813185442595,36.138621999185304,7.175489713624222,36.138621999185304,7.175489713624222,0.0,0.0,0.0,0.0,36.138621999185304,7.175489713624222,24.979991993593593,6.437751649736401,13.038404810405298,5.14166355650266,7.937253933193772,4.1588830833596715,0.0,0.0
505,506,90,60.0,7596,5,5,1952,1952,360.0,0,0,960,960,960,1000,0,1960,0,0,2,0,4,2,10,0,1952.0,2,400,0,0,0,0,0,0,7,2009,11.732069026983156,87.1550342780037,8.935508711503221,18.973665961010276,5.8888779583328805,0.0,0.0,0.0,0.0,30.983866769659336,6.8679744089702925,30.983866769659336,6.8679744089702925,30.983866769659336,6.8679744089702925,31.622776601683793,6.90875477931522,0.0,0.0,44.27188724235731,7.581209826196346,20.0,5.993961427306569,0.0,0.0,0.0,0.0,0.0,0.0
1163,1164,90,60.0,12900,4,4,1969,1969,0.0,1198,0,0,1198,1258,0,0,1258,2,0,0,2,0,2,6,0,1969.0,2,400,120,0,0,0,0,0,1,2008,11.59873612138334,113.57816691600547,9.465060106725137,0.0,0.0,34.61213659975356,7.089243155027514,0.0,0.0,0.0,0.0,34.61213659975356,7.089243155027514,35.4682957019364,7.138073034044347,0.0,0.0,0.0,0.0,35.4682957019364,7.138073034044347,20.0,5.993961427306569,10.954451150103322,4.795790545596741,0.0,0.0,0.0,0.0
405,406,20,0.0,9991,4,4,1976,1993,0.0,1116,0,165,1281,1620,0,0,1620,1,0,2,0,3,1,8,1,1993.0,2,490,120,78,0,0,0,0,6,2009,11.918397239722838,99.95498987044118,9.209540051805414,0.0,0.0,33.406586176980134,7.018401799069201,0.0,0.0,12.84523257866513,5.111987788356544,35.79106033634656,7.156176637480615,40.24922359499622,7.390798521735676,0.0,0.0,0.0,0.0,40.24922359499622,7.390798521735676,22.135943621178654,6.19644412779452,10.954451150103322,4.795790545596741,8.831760866327848,4.3694478524670215,0.0,0.0
125,126,190,60.0,6780,6,8,1935,1982,0.0,490,0,30,520,520,0,234,754,1,0,1,0,2,1,5,0,0.0,0,0,53,0,0,0,0,0,6,2006,11.344518647594766,82.3407554009556,8.821879862683842,0.0,0.0,22.135943621178654,6.19644412779452,0.0,0.0,5.477225575051661,3.4339872044851463,22.80350850198276,6.255750041753367,22.80350850198276,6.255750041753367,0.0,0.0,15.297058540778355,5.459585514144159,27.459060435491963,6.626717749249025,0.0,0.0,7.280109889280518,3.9889840465642745,0.0,0.0,0.0,0.0
542,543,20,78.0,10140,7,5,1998,1999,0.0,144,1127,379,1650,1680,0,0,1680,1,0,2,0,3,1,7,1,1998.0,2,583,78,73,0,0,0,0,6,2009,12.270225154674701,100.69756700139284,9.224341891611996,0.0,0.0,12.0,4.976733742420574,33.57082066318904,7.028201432058005,19.467922333931785,5.940171252720432,40.620192023179804,7.409136443920128,40.98780306383839,7.427144133408616,0.0,0.0,0.0,0.0,40.98780306383839,7.427144133408616,24.145392935299274,6.369900982828227,8.831760866327848,4.3694478524670215,8.54400374531753,4.30406509320417,0.0,0.0
893,894,20,0.0,13284,5,5,1954,1954,0.0,1064,0,319,1383,1383,0,0,1383,1,0,1,0,3,1,6,1,1954.0,1,354,511,116,0,0,0,0,6,2008,12.013706813470414,115.25623627379127,9.494390858193913,0.0,0.0,32.61901286060018,6.970730078143525,0.0,0.0,17.86057109949175,5.768320995793772,37.1887079635741,7.232733136177615,37.1887079635741,7.232733136177615,0.0,0.0,0.0,0.0,37.1887079635741,7.232733136177615,18.81488772222678,5.872117789475416,22.60530911091463,6.238324625039508,10.770329614269007,4.762173934797756,0.0,0.0
274,275,20,76.0,8314,5,7,1982,1982,0.0,546,0,270,816,816,0,0,816,0,0,1,0,2,1,5,0,1982.0,1,264,168,0,0,0,0,0,6,2007,11.732069026983156,91.18113840043894,9.025816391627028,0.0,0.0,23.366642891095847,6.304448802421981,0.0,0.0,16.431676725154983,5.602118820879701,28.5657137141714,6.705639094860003,28.5657137141714,6.705639094860003,0.0,0.0,0.0,0.0,28.5657137141714,6.705639094860003,16.24807680927192,5.579729825986222,12.96148139681572,5.1298987149230735,0.0,0.0,0.0,0.0
492,493,60,105.0,15578,6,5,2006,2006,0.0,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,0,2006.0,2,429,0,0,0,0,0,0,5,2006,12.059809113551397,124.8118584109699,9.653679132512428,0.0,0.0,0.0,0.0,0.0,0.0,26.981475126464083,6.591673732008658,26.981475126464083,6.591673732008658,26.981475126464083,6.591673732008658,26.981475126464083,6.591673732008658,0.0,0.0,38.157568056677825,7.284134806195205,20.71231517720798,6.063785208687608,0.0,0.0,0.0,0.0,0.0,0.0
1409,1410,60,46.0,20544,7,6,1986,1991,123.0,0,0,791,791,1236,857,0,2093,0,0,2,1,3,1,7,1,1986.0,2,542,364,63,0,0,0,0,11,2008,12.278397958261774,143.33178293735133,9.93037288131751,11.090536506409418,4.820281565605037,0.0,0.0,0.0,0.0,28.124722220850465,6.674561391814426,28.124722220850465,6.674561391814426,35.156791662493895,7.1204443723924875,29.274562336608895,6.754604099487962,0.0,0.0,45.749316934791494,7.646831391430482,23.280893453645632,6.297109319933935,19.078784028338912,5.8998973535824915,7.937253933193772,4.1588830833596715,0.0,0.0
753,754,60,80.0,10240,8,5,2005,2005,178.0,0,0,1030,1030,1038,1060,0,2098,0,0,2,1,3,1,8,1,2005.0,3,878,192,52,0,0,0,0,3,2006,12.526346537332584,101.19288512538814,9.234154550075438,13.341664064126334,5.187385805840755,0.0,0.0,0.0,0.0,32.09361307176243,6.93828448401696,32.09361307176243,6.93828448401696,32.218007387174026,6.946013991099227,32.55764119219941,6.966967138613983,0.0,0.0,45.803929962395145,7.649216319820633,29.631064780058107,6.778784897685177,13.856406460551018,5.262690188904886,7.211102550927978,3.970291913552122,0.0,0.0
47,48,20,84.0,11096,8,5,2006,2006,0.0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006.0,3,826,0,146,0,0,0,0,7,2007,12.428019481065613,105.33755265810954,9.314430080500564,0.0,0.0,4.898979485566356,3.2188758248682006,0.0,0.0,40.39801975344831,7.398174092970465,40.69397989875161,7.4127640174265625,40.69397989875161,7.4127640174265625,0.0,0.0,0.0,0.0,40.69397989875161,7.4127640174265625,28.74021572639983,6.717804695023691,0.0,0.0,12.083045973594572,4.990432586778736,0.0,0.0
852,853,75,53.0,7128,7,5,1941,1950,0.0,364,0,554,918,918,728,0,1646,0,0,2,0,4,1,7,2,1941.0,1,240,0,0,0,0,126,0,8,2007,12.00762780434872,84.42748367682174,8.871926251117628,0.0,0.0,19.078784028338912,5.8998973535824915,0.0,0.0,23.53720459187964,6.318968113746434,30.298514815086232,6.823286122355687,30.298514815086232,6.823286122355687,26.981475126464083,6.591673732008658,0.0,0.0,40.570925550201586,7.4067107301776405,15.491933384829668,5.484796933490655,0.0,0.0,0.0,0.0,0.0,0.0
243,244,160,75.0,10762,6,6,1980,1980,0.0,0,0,626,626,626,591,0,1217,0,0,1,1,3,1,6,1,1980.0,1,288,0,28,0,0,0,0,4,2009,11.695255355062795,103.74005976477939,9.283869605264298,0.0,0.0,0.0,0.0,0.0,0.0,25.019992006393608,6.440946540632921,25.019992006393608,6.440946540632921,25.019992006393608,6.440946540632921,24.310491562286437,6.3835066348840055,0.0,0.0,34.88552708502482,7.1049654482698426,16.97056274847714,5.666426688112432,0.0,0.0,5.291502622129181,3.367295829986474,0.0,0.0
1178,1179,50,54.0,7681,5,6,1921,1950,0.0,0,0,731,731,820,523,0,1343,0,0,1,1,3,1,7,1,1921.0,1,186,192,0,102,0,0,0,7,2009,11.950541482162043,87.64131445842195,8.94663520890585,0.0,0.0,0.0,0.0,0.0,0.0,27.03701166919155,6.595780513961311,27.03701166919155,6.595780513961311,28.635642126552707,6.710523109452428,22.869193252058544,6.261491684321042,0.0,0.0,36.64696440361739,7.203405521083095,13.638181696985855,5.231108616854587,13.856406460551018,5.262690188904886,0.0,0.0,0.0,0.0
765,766,20,75.0,14587,9,5,2008,2008,284.0,0,0,1498,1498,1506,0,0,1506,0,0,2,0,2,1,6,1,2008.0,2,592,0,174,0,0,0,0,8,2008,12.484208043148733,120.77665337307538,9.58795455192857,16.852299546352718,5.652489180268651,0.0,0.0,0.0,0.0,38.704004960727254,7.312553498102598,38.704004960727254,7.312553498102598,38.80721582386451,7.317876198626496,0.0,0.0,0.0,0.0,38.80721582386451,7.317876198626496,24.331050121192877,6.385194398997726,0.0,0.0,13.19090595827292,5.1647859739235145,0.0,0.0
